annotTriples	annotCost	estimatedAcc	MoE	lowerBound	upperBound			
274	4.940277778	0.770072993	0.049914613	0.72015838	0.819987606	FALSE	FALSE	FALSE
301	5.227777778	0.734219269	0.049987578	0.684231691	0.784206848	FALSE	FALSE	FALSE
304	5.498611111	0.730263158	0.049973136	0.680290022	0.780236294	FALSE	FALSE	FALSE
295	5.398611111	0.742372881	0.049989784	0.692383097	0.792362666	FALSE	FALSE	FALSE
259	4.586111111	0.787644788	0.049903948	0.73774084	0.837548735	FALSE	FALSE	FALSE
279	5.05	0.76344086	0.049955494	0.713485366	0.813396354	FALSE	FALSE	FALSE
298	5.344444444	0.738255034	0.049993351	0.688261683	0.788248384	FALSE	FALSE	FALSE
315	5.6	0.714285714	0.049967225	0.66431849	0.764252939	FALSE	FALSE	FALSE
268	4.798611111	0.776119403	0.049999419	0.726119984	0.826118822	FALSE	FALSE	FALSE
298	5.244444444	0.738255034	0.049993351	0.688261683	0.788248384	FALSE	FALSE	FALSE
291	5.220833333	0.749140893	0.049893708	0.699247186	0.799034601	FALSE	FALSE	FALSE
297	5.275	0.740740741	0.049923209	0.690817532	0.790663949	FALSE	FALSE	FALSE
289	5.144444444	0.750865052	0.049951682	0.70091337	0.800816734	FALSE	FALSE	FALSE
291	5.183333333	0.749140893	0.049893708	0.699247186	0.799034601	FALSE	FALSE	FALSE
288	5.2375	0.753472222	0.049862459	0.703609763	0.803334682	FALSE	FALSE	FALSE
268	4.773611111	0.776119403	0.049999419	0.726119984	0.826118822	FALSE	FALSE	FALSE
311	5.547222222	0.720257235	0.04996783	0.670289405	0.770225065	FALSE	FALSE	FALSE
267	4.854166667	0.779026217	0.049860162	0.729166055	0.828886379	FALSE	FALSE	FALSE
307	5.344444444	0.726384365	0.049950642	0.676433723	0.776335007	FALSE	FALSE	FALSE
286	5.198611111	0.755244755	0.049915511	0.705329244	0.805160266	FALSE	FALSE	FALSE
328	5.815277778	0.695121951	0.049896237	0.645225714	0.745018188	FALSE	FALSE	FALSE
300	5.370833333	0.736666667	0.049923029	0.686743638	0.786589695	FALSE	FALSE	FALSE
284	5.022222222	0.757042254	0.049966659	0.707075595	0.807008912	FALSE	FALSE	FALSE
297	5.3875	0.740740741	0.049923209	0.690817532	0.790663949	FALSE	FALSE	FALSE
263	4.763888889	0.783269962	0.049889912	0.73338005	0.833159874	FALSE	FALSE	FALSE
257	4.622222222	0.789883268	0.04990452	0.739978748	0.839787789	FALSE	FALSE	FALSE
289	5.119444444	0.750865052	0.049951682	0.70091337	0.800816734	FALSE	FALSE	FALSE
283	5.165277778	0.759717314	0.049866718	0.709850596	0.809584033	FALSE	FALSE	FALSE
